market_hash_name,mean_price_usd,mean_pct_change,volatility,mean_deviation,spike_count,min_price_3day
'Blueberries' Buckshot | NSWC SEAL,19.006666666666668,0.005731262767110284,0.0853093604139169,0.007239920152259573,0,13.0
'Medium Rare' Crasswater | Guerrilla Warfare,52.60666666666667,0.00486356528916166,0.08106049777415725,0.006234018031402255,0,33.0
'The Doctor' Romanov | Sabre,16.386666666666667,0.005533447206737354,0.07920654195792583,0.00887377008514574,0,12.0
'Two Times' McCoy | TACP Cavalry,11.4,0.00919376630842941,0.10162694502823759,0.014278579566962452,0,10.0
'Two Times' McCoy | USAF TACP,10.666666666666666,0.009560941728390894,0.10008481242105159,0.016114494739824004,0,10.0
10 Year Birthday Sticker Capsule,0.0,,,,0,0.0
1st Lieutenant Farlow | SWAT,12.726666666666667,0.006303547183406723,0.09209977511806729,0.0068538257529517895,0,9.0
2020 RMR Challengers,0.0,,,,0,0.0
2020 RMR Contenders,0.0,,,,0,0.0
2020 RMR Legends,0.0,,,,0,0.0
2021 Community Sticker Capsule,0.0,,,,0,0.0
3rd Commando Company | KSK,14.706666666666667,0.00484266827649734,0.0766871738387052,0.006302142328223394,0,11.0
AK-47 | Aquamarine Revenge (Battle-Scarred),27.153333333333332,0.0018073542110876742,0.04458407322877236,-6.891677756434659e-06,0,26.0
AK-47 | Aquamarine Revenge (Factory New),239.12666666666667,0.0052083363599148575,0.06397393021766803,0.0074281034965822295,0,204.0
AK-47 | Aquamarine Revenge (Field-Tested),36.38666666666666,0.0003918728817174467,0.03437452225711916,-0.000957844657523331,0,32.0
AK-47 | Aquamarine Revenge (Minimal Wear),77.86666666666666,-0.0005954186663918072,0.045643417255050424,-0.0060359012454866325,0,56.0
AK-47 | Aquamarine Revenge (Well-Worn),27.36,0.00026854965682532615,0.03897742224051919,-0.0008002490951682093,0,27.0
AK-47 | Asiimov (Battle-Scarred),27.52,-0.0003303542658978532,0.026780974249417316,-0.001734337404012988,0,27.0
AK-47 | Asiimov (Factory New),298.02,0.005243757182081422,0.06321105623301576,0.009381487086809116,0,316.0
AK-47 | Asiimov (Field-Tested),28.4,1.5433236909757104e-05,0.02240664689700776,-0.0009274136192723024,0,28.0
AK-47 | Asiimov (Minimal Wear),53.693333333333335,-0.0006462296712329205,0.027981881938462638,-0.003562638785649066,0,45.0
AK-47 | Asiimov (Well-Worn),33.65771812080537,0.00032027378155579387,0.03836018786287492,-0.000842217745378175,0,34.0
AK-47 | B the Monster (Battle-Scarred),108.90666666666667,-0.001435526093592131,0.02732329664313063,-0.005712790087753135,0,89.0
AK-47 | B the Monster (Factory New),929.7,0.003678299977485826,0.048657098933008534,0.006482436743064759,0,979.0
AK-47 | B the Monster (Field-Tested),227.84666666666666,-0.0001801195250828771,0.04144003219867808,-0.005046742187666578,0,165.0
AK-47 | B the Monster (Minimal Wear),391.44666666666666,0.0013996265807824882,0.043898188745294206,3.42611448258164e-07,0,342.0
AK-47 | B the Monster (Well-Worn),180.55333333333334,-0.0007274728761780764,0.032075885682223665,-0.0035609284393182837,0,160.0
AK-47 | Baroque Purple (Battle-Scarred),5.402684563758389,0.002075289575289574,0.08278291564281841,-0.0026851251026144113,0,5.0
AK-47 | Baroque Purple (Factory New),48.72666666666667,0.017177241492266477,0.10525194226523762,0.03765302130174156,1,88.0
AK-47 | Baroque Purple (Field-Tested),5.526666666666666,0.002572706935123043,0.08673667953330622,-0.002884711851140561,0,5.0
AK-47 | Baroque Purple (Minimal Wear),8.48,0.008938237954434682,0.107679552026725,0.009837076258063912,2,10.0
AK-47 | Baroque Purple (Well-Worn),5.3624161073825505,0.002622265122265123,0.07216216521286617,-0.001708153450885713,0,5.0
AK-47 | Black Laminate (Battle-Scarred),41.36363636363637,0.00022759570356748423,0.02950586066029079,-0.00016728156235984475,0,42.0
AK-47 | Black Laminate (Factory New),270.89629629629627,0.004789518666496332,0.11238861124248269,0.002372314982354418,2,252.0
AK-47 | Black Laminate (Field-Tested),40.26,0.0011477021428289917,0.05548562469214054,-0.000680719505966547,0,39.0
AK-47 | Black Laminate (Minimal Wear),53.446666666666665,0.0034707425896595818,0.07177278578946764,0.0054413279708761895,0,47.0
AK-47 | Black Laminate (Well-Worn),46.095588235294116,0.0017975711696523993,0.08383413831485557,-0.0005708264231456951,1,42.0
AK-47 | Bloodsport (Factory New),296.2866666666667,0.00037528151109486466,0.04465666875256186,-0.002540850507368573,0,195.0
AK-47 | Bloodsport (Field-Tested),164.18,-0.0015515449812444609,0.03848691986564716,-0.006723713425179282,0,117.0
AK-47 | Bloodsport (Minimal Wear),196.62,-0.0012100375844530744,0.03850999836087752,-0.005614153046567039,0,132.0
AK-47 | Bloodsport (Well-Worn),161.6,-0.0007283544308389295,0.035747916223984315,-0.003735731496360062,0,137.0
AK-47 | Blue Laminate (Factory New),25.533333333333335,0.007566042307702593,0.09733415016436728,0.010714344124738828,0,23.0
AK-47 | Blue Laminate (Field-Tested),12.946666666666667,0.0010710765744322763,0.047135807514745526,-3.867787869209267e-05,0,13.0
AK-47 | Blue Laminate (Minimal Wear),14.14,0.0009581702238630762,0.04409327501423732,0.00021671877140747725,0,13.0
AK-47 | Blue Laminate (Well-Worn),18.438356164383563,0.002417997540304807,0.05807424002974659,0.0032697806234270738,0,18.0
AK-47 | Cartel (Battle-Scarred),14.006666666666666,0.0017219730306978608,0.050826894704454506,0.00041845111081471653,0,14.0
AK-47 | Cartel (Factory New),77.2,0.009379140398451563,0.09492478390928875,0.015731324123606408,1,67.0
