market_hash_name,mean_price_usd,mean_pct_change,volatility,mean_deviation,spike_count,safe_price_usd,risk_score_svm,safe_discount_%
'Blueberries' Buckshot | NSWC SEAL,23.466666666666665,0.0030050897842052,0.0952062084733313,-0.0011465544537919,0,23.466666666666665,0,0.0
'Medium Rare' Crasswater | Guerrilla Warfare,54.74444444444445,-0.0028466315719871,0.0743887318447895,-0.0146843445829912,0,54.74444444444445,0,0.0
'The Doctor' Romanov | Sabre,20.022222222222226,0.0013336826181796,0.078859640902352,-0.0047736220715441,0,20.022222222222226,0,0.0
'Two Times' McCoy | TACP Cavalry,14.377777777777778,0.0076916148273991,0.1013751955774506,0.0109975100278813,0,14.377777777777778,0,0.0
'Two Times' McCoy | USAF TACP,13.444444444444445,0.0073298662394159,0.0975133678698179,0.0086245639055209,0,13.444444444444445,0,0.0
10 Year Birthday Sticker Capsule,0.0,,,,0,0.0,0,
1st Lieutenant Farlow | SWAT,15.066666666666666,0.0026865891034325,0.0881885206852392,-0.0010369053756096,0,15.066666666666666,0,0.0
2020 RMR Challengers,0.0,,,,0,0.0,0,
2020 RMR Contenders,0.0,,,,0,0.0,0,
2020 RMR Legends,0.0,,,,0,0.0,0,
2021 Community Sticker Capsule,0.0,,,,0,0.0,0,
3rd Commando Company | KSK,17.144444444444446,0.0017065483541947,0.0849420782505822,-0.0035553061322653,0,17.144444444444446,0,0.0
AK-47 | Aquamarine Revenge (Battle-Scarred),26.4,0.0028566136734334,0.0454056657310829,0.0065263693934929,0,26.4,0,0.0
AK-47 | Aquamarine Revenge (Factory New),266.68888888888887,0.0025029721070641,0.0745629093588623,0.0020324512564,0,266.68888888888887,0,0.0
AK-47 | Aquamarine Revenge (Field-Tested),36.67777777777778,-0.000261589843981,0.0387311965932571,-0.0015915807994131,0,36.67777777777778,0,0.0
AK-47 | Aquamarine Revenge (Minimal Wear),76.85555555555555,-0.0017608413033083,0.0543171144768481,-0.0078403743657818,0,76.85555555555555,0,0.0
AK-47 | Aquamarine Revenge (Well-Worn),26.844444444444445,0.0016208480298907,0.0401643681011192,0.0013287173249337,0,26.844444444444445,0,0.0
AK-47 | Asiimov (Battle-Scarred),27.35555555555555,0.0031280550456636,0.029149340035526,0.0068655035201802,0,27.35555555555555,0,0.0
AK-47 | Asiimov (Factory New),328.8888888888889,0.0058544517380218,0.0769493725528846,0.0120857260044337,0,328.8888888888889,0,0.0
AK-47 | Asiimov (Field-Tested),28.233333333333334,0.0011064544966133,0.023410190718129,0.0022873568420284,0,28.233333333333334,0,0.0
AK-47 | Asiimov (Minimal Wear),52.977777777777774,-0.0009229967826981,0.0312442770637786,-0.0034542828077061,0,52.977777777777774,0,0.0
AK-47 | Asiimov (Well-Worn),33.922222222222224,0.0027368689941958,0.0458857262021043,0.0033475012542911,0,33.922222222222224,0,0.0
AK-47 | B the Monster (Battle-Scarred),106.18888888888888,-0.0004655659358573,0.0312819926613328,-0.0030295152684079,0,106.18888888888888,0,0.0
AK-47 | B the Monster (Factory New),1020.2,0.0043827618207013,0.0579048544502208,0.0102926769416895,0,1020.2,0,0.0
AK-47 | B the Monster (Field-Tested),224.63333333333333,-0.0021395941132041,0.0474554752629627,-0.0076478370048459,0,224.63333333333333,0,0.0
AK-47 | B the Monster (Minimal Wear),404.5777777777778,0.0006995139173163,0.0503319149181096,0.0010805572125721,0,404.5777777777778,0,0.0
AK-47 | B the Monster (Well-Worn),177.37777777777777,-0.0001879299745666,0.0346816570591025,-0.0027692182300582,0,177.37777777777777,0,0.0
AK-47 | Baroque Purple (Battle-Scarred),5.188888888888889,0.0053237025147137,0.1054066716999782,0.0019927612970157,0,5.188888888888889,0,0.0
AK-47 | Baroque Purple (Factory New),65.41111111111111,0.0200973613521528,0.1247875811412209,0.0440380957437705,1,65.41111111111111,0,0.0
AK-47 | Baroque Purple (Field-Tested),5.444444444444445,0.0084269662921348,0.1087286779068577,0.0060889183199274,0,5.444444444444445,0,0.0
AK-47 | Baroque Purple (Minimal Wear),9.444444444444445,0.0143085856390722,0.1294589279296147,0.0211157434811525,2,9.444444444444445,0,0.0
AK-47 | Baroque Purple (Well-Worn),5.123595505617978,0.0060335497835497,0.0835515548139902,0.0067347464815472,0,5.123595505617978,0,0.0
AK-47 | Black Laminate (Battle-Scarred),39.93103448275862,0.0005319330008854,0.0346216838738663,0.0003610336599672,0,39.93103448275862,0,0.0
AK-47 | Black Laminate (Factory New),282.0617283950617,0.0028844738524455,0.088847266471838,0.0025437554393184,1,282.0617283950617,0,0.0
AK-47 | Black Laminate (Field-Tested),39.41111111111111,0.0031695581880038,0.0695397189137293,0.0011057867102805,0,39.41111111111111,0,0.0
AK-47 | Black Laminate (Minimal Wear),59.84444444444444,0.0060078768537601,0.0907181065737262,0.0140670469807371,0,59.84444444444444,0,0.0
AK-47 | Black Laminate (Well-Worn),44.04938271604938,-0.0006890035573003,0.0382140787727616,-0.0023934846748554,0,44.04938271604938,0,0.0
AK-47 | Bloodsport (Factory New),299.27777777777777,-0.0029270497661768,0.0496428969222412,-0.009761344103634,0,299.27777777777777,0,0.0
AK-47 | Bloodsport (Field-Tested),156.72222222222223,-0.0021577736789624,0.0421601572941058,-0.0086597876623028,0,156.72222222222223,0,0.0
AK-47 | Bloodsport (Minimal Wear),191.4111111111111,-0.0029586054253282,0.0418591973946746,-0.010223796424837,0,191.4111111111111,0,0.0
AK-47 | Bloodsport (Well-Worn),155.84444444444443,0.0006301457756799,0.0395611383631913,-0.0035237175375563,0,155.84444444444443,0,0.0
AK-47 | Blue Laminate (Factory New),29.85555555555555,0.0078459731534658,0.1138361353785122,0.0094650160952441,0,29.85555555555555,0,0.0
AK-47 | Blue Laminate (Field-Tested),12.766666666666667,0.0032110211885492,0.0529705806564966,0.0047130081263036,0,12.766666666666667,0,0.0
AK-47 | Blue Laminate (Minimal Wear),14.177777777777775,0.0011395641517915,0.0480560429004181,0.001987010183333,0,14.177777777777775,0,0.0
AK-47 | Blue Laminate (Well-Worn),18.701149425287355,0.0022405859714161,0.0430260976969212,0.0051388186913523,0,18.701149425287355,0,0.0
AK-47 | Cartel (Battle-Scarred),14.066666666666666,0.0020705106379263,0.0505480991008934,0.0029195786408934,0,14.066666666666666,0,0.0
AK-47 | Cartel (Factory New),98.05555555555556,0.0089719104664055,0.1100688392319585,0.012311336156793,1,98.05555555555556,0,0.0
AK-47 | Cartel (Field-Tested),14.066666666666666,0.0025080256821829,0.0396279676688238,0.0051555759007861,0,14.066666666666666,0,0.0
AK-47 | Cartel (Minimal Wear),22.122222222222224,0.0045553196060617,0.0813448179205023,0.0043081087613747,0,22.122222222222224,0,0.0
AK-47 | Cartel (Well-Worn),20.15909090909091,0.0017581018195842,0.062184073073683,0.0031425978888729,0,20.15909090909091,0,0.0
AK-47 | Case Hardened (Battle-Scarred),185.95555555555555,0.0009640556191683,0.0590908896171044,-0.0026952955868365,0,185.95555555555555,0,0.0
AK-47 | Case Hardened (Factory New),439.8666666666667,0.0054002945435252,0.0782916324700752,0.0113221468538065,0,439.8666666666667,0,0.0
AK-47 | Case Hardened (Field-Tested),218.98888888888888,-0.0009521241730685,0.0510418303390821,-0.0066102513728928,0,218.98888888888888,0,0.0
AK-47 | Case Hardened (Minimal Wear),260.0888888888889,-0.0011657132888656,0.0459121574186922,-0.0063516046937921,0,260.0888888888889,0,0.0
AK-47 | Case Hardened (Well-Worn),187.7888888888889,-0.000202492704301,0.0517519367884592,-0.004756541383489,0,187.7888888888889,0,0.0
AK-47 | Crossfade (Battle-Scarred),0.9111111111111112,inf,,0.0934865900383141,14,0.6833333333333333,1,25.00000000000001
AK-47 | Crossfade (Factory New),8.61111111111111,0.0286362330479977,0.2273607902338429,0.0332295818515883,3,8.61111111111111,0,0.0
AK-47 | Crossfade (Field-Tested),1.3666666666666667,0.0393258426966292,0.3046591818983468,0.0059237675904342,7,1.025,1,25.00000000000001
AK-47 | Crossfade (Minimal Wear),2.7,0.0235955056179775,0.201083067863983,0.0369647323253833,3,2.7,0,0.0
AK-47 | Crossfade (Well-Worn),1.1444444444444444,0.0337078651685393,0.2899623095510232,0.0017842959509626,6,0.8583333333333333,1,25.0
AK-47 | Elite Build (Battle-Scarred),0.3333333333333333,inf,,0.2858974358974359,21,0.25,1,25.0
AK-47 | Elite Build (Factory New),10.811111111111112,0.0110773863502843,0.1424799967486147,0.0139385245896669,1,10.811111111111112,0,0.0
AK-47 | Elite Build (Field-Tested),1.0,0.0,0.0,0.0,0,1.0,0,0.0
AK-47 | Elite Build (Minimal Wear),1.9111111111111112,0.0449438202247191,0.3074865983609752,0.0122481222481222,7,1.4333333333333333,1,25.0
AK-47 | Elite Build (Well-Worn),0.5555555555555556,inf,,0.1443589743589743,27,0.4166666666666667,1,25.0
AK-47 | Emerald Pinstripe (Battle-Scarred),1.6111111111111112,0.0393258426966292,0.3128381724877497,0.005232884399551,7,1.2083333333333335,1,24.99999999999999
AK-47 | Emerald Pinstripe (Factory New),16.355555555555554,0.005922282571067,0.1136303450105329,0.0061972766112223,1,16.355555555555554,0,0.0
AK-47 | Emerald Pinstripe (Field-Tested),2.0,0.0,0.0,0.0,0,2.0,0,0.0
AK-47 | Emerald Pinstripe (Minimal Wear),4.277777777777778,0.0094435527019796,0.114148913343116,0.01157832203399,0,4.277777777777778,0,0.0
AK-47 | Emerald Pinstripe (Well-Worn),1.6666666666666667,0.0224719101123595,0.2708374256520136,-0.0091720625053958,5,1.25,1,25.0
AK-47 | Fire Serpent (Battle-Scarred),598.6404494382023,0.0005246584107488,0.0331418010761671,0.0005068323556741,0,598.6404494382023,0,0.0
AK-47 | Fire Serpent (Factory New),3615.755555555555,0.0027789964920979,0.057460148402538,0.0054202240529723,0,3615.755555555555,0,0.0
AK-47 | Fire Serpent (Field-Tested),920.7444444444444,-0.0010819073553056,0.0457331796969044,-0.0043246853490492,0,920.7444444444444,0,0.0
AK-47 | Fire Serpent (Minimal Wear),1796.1666666666667,0.0001795021959234,0.0629215616591404,-0.0017767348500196,0,1796.1666666666667,0,0.0
AK-47 | Fire Serpent (Well-Worn),848.2533333333333,0.0010056443628818,0.0674711161526663,-0.0033353972814386,0,848.2533333333333,0,0.0
AK-47 | First Class (Battle-Scarred),128.7887323943662,0.0044849326255183,0.1239789471748672,0.0056959785619403,1,128.7887323943662,0,0.0
AK-47 | First Class (Factory New),236.9882352941177,0.0149787901037348,0.1491230537232822,0.0211636353738766,2,236.9882352941177,0,0.0
AK-47 | First Class (Field-Tested),99.05555555555556,0.0007804252376114,0.0366656010073903,0.0006973407717705,0,99.05555555555556,0,0.0
AK-47 | First Class (Minimal Wear),152.32183908045977,0.0038415275337658,0.0552515662101455,0.0069919016419415,0,152.32183908045977,0,0.0
AK-47 | First Class (Well-Worn),103.5568181818182,0.0028074949163313,0.0493314356742074,0.0064027882585777,0,103.5568181818182,0,0.0
AK-47 | Frontside Misty (Battle-Scarred),13.0,0.0021791878533451,0.0510468086857554,0.0034442297618524,0,13.0,0,0.0
AK-47 | Frontside Misty (Factory New),173.61111111111111,0.0080103309917222,0.0881543508670513,0.0172311714248861,0,173.61111111111111,0,0.0
AK-47 | Frontside Misty (Field-Tested),14.355555555555556,0.0023486922859031,0.0568350657121597,0.0038633615461401,0,14.355555555555556,0,0.0
AK-47 | Frontside Misty (Minimal Wear),34.544444444444444,0.0043176266439049,0.0885741714787612,0.0047382030409979,0,34.544444444444444,0,0.0
AK-47 | Frontside Misty (Well-Worn),13.577777777777778,0.0020218077802347,0.0481361315227649,0.0034191011949981,0,13.577777777777778,0,0.0
AK-47 | Fuel Injector (Battle-Scarred),140.6888888888889,-0.0022300365651855,0.0335601160986322,-0.0071051723958617,0,140.6888888888889,0,0.0
