market_hash_name,mean_price_usd,volatility,spike_count,risk_score_LogReg,safe_price_usd_LogReg
P90 | Cocoa Rampage (Field-Tested),0.2533333333333333,,93,1.0,0.18999999999999997
StatTrak™ UMP-45 | Grand Prix (Field-Tested),0.4,,78,0.9999999999999925,0.30000000000000077
Sticker | fer | Katowice 2019,0.3445945945945945,,75,0.9999999999999698,0.2584459459459485
Souvenir Dual Berettas | Briar (Minimal Wear),0.4066666666666667,,72,0.9999999999998779,0.30500000000001243
StatTrak™ SG 553 | Aerial (Factory New),0.46,,67,0.9999999999987947,0.34500000000013864
StatTrak™ Galil AR | Akoben (Minimal Wear),0.3066666666666666,,66,0.999999999998048,0.2300000000001496
Tec-9 | Avalanche (Battle-Scarred),0.2933333333333333,,63,0.9999999999921922,0.22000000000057254
StatTrak™ MP7 | Armor Core (Factory New),0.5733333333333334,,63,0.9999999999921829,0.43000000000112043
StatTrak™ Nova | Exo (Factory New),0.5333333333333333,,63,0.9999999999921334,0.40000000000104885
StatTrak™ MAG-7 | Heat (Battle-Scarred),0.5933333333333334,,62,0.9999999999875939,0.44500000000184026
G3SG1 | Black Sand (Field-Tested),0.56,,61,0.9999999999803935,0.42000000000274496
"Music Kit | Sam Marshall, Bodacious",0.54,,61,0.9999999999801759,0.4050000000026763
Sticker | Killjoy,0.5266666666666666,,61,0.9999999999800682,0.3950000000026243
Sticker | Buzz (Holo) | Austin 2025,0.304054054054054,,60,0.9999999999691218,0.22804054054288767
StatTrak™ PP-Bizon | Space Cat (Minimal Wear),0.7266666666666667,,60,0.999999999968771,0.5450000000056733
Sticker | susp (Holo) | Austin 2025,0.4027777777777778,,60,0.9999999999687137,0.3020833333364837
Sticker | siuhy (Gold) | Shanghai 2024,0.6148648648648649,,60,0.9999999999686029,0.46114864865347494
Sticker | insani (Holo) | Austin 2025,0.3422818791946309,,59,0.999999999950546,0.2567114094002049
"Music Kit | Tim Huling, Devil's Paintbrush",0.26,,59,0.9999999999490443,0.19500000000331214
StatTrak™ MAC-10 | Pipe Down (Battle-Scarred),0.2818791946308724,,58,0.9999999999212141,0.21140939597870634
Sticker | Into The Breach (Holo) | Paris 2023,0.46,,58,0.9999999999211686,0.3450000000090656
Sticker | regali (Holo) | Austin 2025,0.6301369863013698,,58,0.9999999999211298,0.4726027397384521
Souvenir PP-Bizon | Facility Sketch (Factory New),0.2466666666666666,,57,0.9999999998724858,0.18500000000786332
StatTrak™ Sawed-Off | Origami (Factory New),0.2266666666666666,,56,0.9999999997995046,0.17000000001136137
StatTrak™ MP9 | Capillary (Minimal Wear),0.5133333333333333,,56,0.9999999997990121,0.3850000000257934
Sticker | qikert (Glitter) | Rio 2022,0.6333333333333333,,56,0.9999999997989095,0.47500000003183934
Sticker | Noble (Holo),0.6533333333333333,,55,0.9999999996815403,0.4900000000520151
Tec-9 | Remote Control (Well-Worn),0.68,,55,0.999999999681515,0.5100000000541425
Sticker | forZe eSports (Holo) | Paris 2023,0.2266666666666666,,55,0.9999999996770137,0.17000000001830248
StatTrak™ R8 Revolver | Memento (Battle-Scarred),0.7518796992481203,,54,0.9999999994936515,0.5639097745312686
Sticker | nitr0 (Holo) | Austin 2025,0.3972602739726027,,54,0.9999999994932081,0.2979452055297841
StatTrak™ AUG | Ricochet (Minimal Wear),0.5666666666666667,,53,0.9999999992065551,0.4250000001124047
SCAR-20 | Torn (Field-Tested),0.5533333333333333,,53,0.9999999992050763,0.41500000010996446
StatTrak™ Five-SeveN | Flame Test (Factory New),0.7733333333333333,,53,0.999999999204781,0.5800000001537423
StatTrak™ Glock-18 | Sacrifice (Minimal Wear),0.4866666666666667,,53,0.9999999991986284,0.3650000000975002
StatTrak™ P250 | Valence (Minimal Wear),0.3933333333333333,,53,0.9999999991959221,0.2950000000790676
StatTrak™ G3SG1 | Orange Crash (Factory New),0.4866666666666667,,53,0.9999999991915156,0.36500000009836564
Galil AR | Sandstorm (Battle-Scarred),0.2430555555555555,,53,0.9999999991912563,0.18229166671580904
"Music Kit | Chipzel, ~Yellow Magic~",0.2733333333333333,,52,0.9999999987347941,0.20500000008645572
"Music Kit | Knock2, Make U SWEAT!",0.4666666666666667,,52,0.999999998734286,0.35000000014766663
