market_hash_name,mean_price_usd,volatility,spike_count,risk_score_SVM,formula_price,ml_price,price_difference
Sealed Graffiti | Little Crown (Desert Amber),0.0220588235294117,,9,1,0.016544117647058775,0.0,-0.016544117647058775
StatTrak™ M249 | Warbird (Well-Worn),2.2241379310344827,0.2842753666936739,6,1,1.668103448275862,1.0,-0.6681034482758621
Souvenir AUG | Colony (Minimal Wear),0.0133333333333333,,14,1,0.009999999999999974,0.0,-0.009999999999999974
AUG | Fleet Flock (Field-Tested),1.8533333333333333,0.2723038455174889,8,1,1.39,1.447773095637409,0.05777309563740918
Sealed Graffiti | Little Crown (Jungle Green),0.0212765957446808,,9,1,0.0159574468085106,0.0,-0.0159574468085106
StatTrak™ SCAR-20 | Torn (Field-Tested),0.3103448275862069,,16,1,0.2327586206896552,0.0,-0.2327586206896552
Negev | Loudmouth (Well-Worn),0.0384615384615384,,10,1,0.0288461538461538,0.0,-0.0288461538461538
Sealed Graffiti | Little Crown (Monster Purple),0.0496453900709219,,9,1,0.037234042553191425,0.0,-0.037234042553191425
SG 553 | Berry Gel Coat (Battle-Scarred),0.0933333333333333,,17,1,0.06999999999999998,0.0,-0.06999999999999998
StatTrak™ MAC-10 | Sakkaku (Well-Worn),0.0266666666666666,,18,1,0.01999999999999995,0.0,-0.01999999999999995
StatTrak™ MAC-10 | Stalker (Battle-Scarred),86.13821138211382,0.3767898184092562,6,1,64.60365853658537,45.0,-19.60365853658537
Glock-18 | Nuclear Garden (Battle-Scarred),0.0333333333333333,,23,1,0.024999999999999974,0.0,-0.024999999999999974
SG 553 | Berry Gel Coat (Minimal Wear),1.6333333333333333,,21,1,1.225,1.4210182541302354,0.19601825413023533
Glock-18 | Nuclear Garden (Field-Tested),0.0266666666666666,,21,1,0.01999999999999995,0.0,-0.01999999999999995
SG 553 | Berry Gel Coat (Well-Worn),0.2751677852348993,,17,1,0.2063758389261745,0.19210823226872015,-0.014267606657454357
Negev | Nuclear Waste (Field-Tested),2.138888888888889,0.2498376122657853,8,1,1.6041666666666665,1.0,-0.6041666666666665
AUG | Luxe Trim (Minimal Wear),0.02,,10,1,0.015,0.0,-0.015
Sealed Graffiti | Little Crown (Shark White),0.0347222222222222,,10,1,0.02604166666666665,0.0,-0.02604166666666665
Glock-18 | Ocean Topo (Factory New),0.4733333333333333,,36,1,0.355,0.0,-0.355
SG 553 | Bleached (Factory New),0.02,,9,1,0.015,0.0,-0.015
StatTrak™ Nova | Wood Fired (Factory New),0.0133333333333333,,14,1,0.009999999999999974,0.0,-0.009999999999999974
Sealed Graffiti | Little Crown (Tracer Yellow),0.123076923076923,,20,1,0.09230769230769226,0.0,-0.09230769230769226
AUG | Momentum (Battle-Scarred),1.02,,15,1,0.765,1.02,0.255
SG 553 | Bleached (Well-Worn),0.054054054054054,,12,1,0.0405405405405405,0.0,-0.0405405405405405
Glock-18 | Off World (Factory New),0.7533333333333333,,13,1,0.565,0.37666666666666665,-0.1883333333333333
StatTrak™ Tec-9 | Re-Entry (Minimal Wear),1.4866666666666666,0.2817008378998594,9,1,1.115,1.0,-0.11499999999999999
Negev | Palm (Well-Worn),10.485714285714286,0.4633970989474056,10,1,7.864285714285714,5.0,-2.864285714285714
SG 553 | Bulldozer (Field-Tested),455.6043165467626,0.5404240736319512,17,1,341.70323741007195,315.29619922014905,-26.4070381899229
Sealed Graffiti | Little Crown (War Pig Pink),0.8,,14,1,0.6000000000000001,0.0,-0.6000000000000001
AUG | Navy Murano (Field-Tested),1.26,,9,1,0.9450000000000001,1.0,0.05499999999999994
AUG | Navy Murano (Minimal Wear),1.8733333333333333,0.2777946565603726,8,1,1.405,1.4716159951363894,0.06661599513638938
AUG | Navy Murano (Well-Worn),1.1156462585034013,,11,1,0.836734693877551,1.0,0.16326530612244905
AUG | Plague (Battle-Scarred),0.1,,33,1,0.07500000000000001,0.0,-0.07500000000000001
AUG | Plague (Factory New),1.9533333333333331,0.3187713607673652,8,1,1.4649999999999999,1.598288241275058,0.13328824127505823
AUG | Plague (Field-Tested),0.1466666666666666,,23,1,0.10999999999999996,0.0,-0.10999999999999996
Glock-18 | Oxide Blaze (Factory New),0.2933333333333333,,34,1,0.21999999999999997,0.0,-0.21999999999999997
AUG | Plague (Well-Worn),0.8413793103448276,,29,1,0.6310344827586207,0.0,-0.6310344827586207
AUG | Radiation Hazard (Battle-Scarred),2.36231884057971,0.3052486651644502,8,1,1.7717391304347825,2.1989050005740496,0.4271658701392671
Sealed Graffiti | Little Crown (Wire Blue),0.0413793103448275,,18,1,0.031034482758620627,0.0,-0.031034482758620627
StatTrak™ USP-S | PC-GRN (Minimal Wear),0.3333333333333333,,29,1,0.25,0.19210823226872015,-0.05789176773127985
StatTrak™ UMP-45 | Motorized (Factory New),0.08,,22,1,0.06,0.0,-0.06
AUG | Radiation Hazard (Well-Worn),1.9928057553956835,0.4713583395162828,5,1,1.4946043165467626,1.0,-0.4946043165467626
AUG | Random Access (Battle-Scarred),0.0211267605633802,,10,1,0.015845070422535152,0.0,-0.015845070422535152
StatTrak™ Five-SeveN | Flame Test (Factory New),0.7733333333333333,,53,1,0.58,0.0,-0.58
